value,category
4491,HEADER_SPACE
554,BIT_MARK
563,BIT_MARK
566,BIT_MARK
553,BIT_MARK
558,BIT_MARK
1678,ONE_SPACE
558,BIT_MARK
567,BIT_MARK
551,BIT_MARK
1678,ONE_SPACE
570,BIT_MARK
1666,ONE_SPACE
558,BIT_MARK
560,BIT_MARK
569,BIT_MARK
566,BIT_MARK
521,BIT_MARK
580,BIT_MARK
584,BIT_MARK
1652,ONE_SPACE
607,BIT_MARK
26,SPUR
22,SPUR
22,SPUR
22,SPUR
29,SPUR
22,SPUR
60,SPUR
23,SPUR
21,SPUR
67,SPUR
1347,ONE_SPACE
533,BIT_MARK
1912,ONE_SPACE
305,SPUR
579,BIT_MARK
568,BIT_MARK
1681,ONE_SPACE
545,BIT_MARK
556,BIT_MARK
562,BIT_MARK
1704,ONE_SPACE
610,BIT_MARK
481,BIT_MARK
563,BIT_MARK
1830,ONE_SPACE
409,BIT_MARK
501181,GAP
9013,HEADER_MARK
4508,HEADER_SPACE
558,BIT_MARK
543,BIT_MARK
575,BIT_MARK
533,BIT_MARK
559,BIT_MARK
1691,ONE_SPACE
571,BIT_MARK
533,BIT_MARK
663,BIT_MARK
1578,ONE_SPACE
558,BIT_MARK
1704,ONE_SPACE
554,BIT_MARK
560,BIT_MARK
557,BIT_MARK
582,BIT_MARK
510,BIT_MARK
560,BIT_MARK
591,BIT_MARK
1672,ONE_SPACE
631,BIT_MARK
19,SPUR
60,SPUR
23,SPUR
29,SPUR
22,SPUR
21,SPUR
22,SPUR
29,SPUR
22,SPUR
59,SPUR
1122,BIT_MARK
487,BIT_MARK
1701,ONE_SPACE
553,BIT_MARK
539,BIT_MARK
584,BIT_MARK
1678,ONE_SPACE
642,BIT_MARK
506,BIT_MARK
514,BIT_MARK
1691,ONE_SPACE
558,BIT_MARK
560,BIT_MARK
558,BIT_MARK
1678,ONE_SPACE
532,BIT_MARK
501371,GAP
9038,HEADER_MARK
4507,HEADER_SPACE
559,BIT_MARK
637,BIT_MARK
559,BIT_MARK
559,BIT_MARK
559,BIT_MARK
1678,ONE_SPACE
569,BIT_MARK
549,BIT_MARK
550,BIT_MARK
1712,ONE_SPACE
559,BIT_MARK
1688,ONE_SPACE
547,BIT_MARK
571,BIT_MARK
548,BIT_MARK
553,BIT_MARK
579,BIT_MARK
924,BIT_MARK
281,SPUR
1574,ONE_SPACE
569,BIT_MARK
18,SPUR
29,SPUR
52,SPUR
21,SPUR
21,SPUR
21,SPUR
28,SPUR
22,SPUR
23,SPUR
57,SPUR
1199,ONE_SPACE
576,BIT_MARK
1689,ONE_SPACE
561,BIT_MARK
527,BIT_MARK
646,BIT_MARK
1609,ONE_SPACE
598,BIT_MARK
651,BIT_MARK
427,BIT_MARK
1678,ONE_SPACE
598,BIT_MARK
520,BIT_MARK
571,BIT_MARK
1691,ONE_SPACE
547,BIT_MARK
501199,GAP
9013,HEADER_MARK
4508,HEADER_SPACE
558,BIT_MARK
533,BIT_MARK
591,BIT_MARK
527,BIT_MARK
558,BIT_MARK
1705,ONE_SPACE
564,BIT_MARK
528,BIT_MARK
558,BIT_MARK
1704,ONE_SPACE
546,BIT_MARK
1690,ONE_SPACE
558,BIT_MARK
534,BIT_MARK
584,BIT_MARK
568,BIT_MARK
550,BIT_MARK
651,BIT_MARK
571,BIT_MARK
1678,ONE_SPACE
606,BIT_MARK
21,SPUR
31,SPUR
23,SPUR
24,SPUR
30,SPUR
24,SPUR
23,SPUR
23,SPUR
31,SPUR
54,SPUR
1173,ONE_SPACE
